indicator_id,region_id,date,value,indicator,category,region_type,region
ZSFH,99999,2016-11-30,286670.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-10-31,285541.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-09-30,284428.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-08-31,282233.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-07-31,280099.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-06-30,277782.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-05-31,274995.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-04-30,272832.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-03-31,271977.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-02-29,270498.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99999,2016-01-31,268094.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98847; WA; Wenatchee; Chelan County; Peshastin
ZSFH,99998,2016-11-30,257049.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-10-31,255896.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-09-30,254011.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-08-31,252341.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-07-31,250402.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-06-30,247994.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-05-31,245299.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-04-30,242886.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-03-31,240954.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-02-29,238789.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99998,2016-01-31,236299.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98846; WA; Okanogan County; Pateros
ZSFH,99997,2016-11-30,226434.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-10-31,224685.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-09-30,222564.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-08-31,220526.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-07-31,217601.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-06-30,215252.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-05-31,213891.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-04-30,212577.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-03-31,212775.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-02-29,211513.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99997,2016-01-31,210349.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98845; WA; Wenatchee; Douglas County; Palisades
ZSFH,99996,2016-11-30,173231.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98844; WA; Okanogan County; Oroville
ZSFH,99996,2016-10-31,171645.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98844; WA; Okanogan County; Oroville
ZSFH,99996,2016-09-30,170058.0,ZHVI Single-Family Homes Time Series ($),Home values,zip,98844; WA; Okanogan County; Oroville
